,Run,Epoch,Loss,Accuracy,Epoch Duration,Run Duration,lr,batch_size,shuffle
0,1,1,2.3680755991545004,0.17024661893396978,0.068634033203125,0.14059805870056152,0.01,100,True
1,1,2,2.336621493124829,0.2060461416070008,0.11592268943786621,0.3436863422393799,0.01,100,True
2,1,3,2.3167103742358224,0.21479713603818615,0.1291494369506836,0.5503840446472168,0.01,100,True
3,1,4,2.2961584461427624,0.23786793953858393,0.08495211601257324,0.7216627597808838,0.01,100,True
4,1,5,2.2749563579817282,0.27844073190135243,0.11193490028381348,0.9181473255157471,0.01,100,True
5,2,1,2.4076796753973646,0.0954653937947494,0.07811737060546875,0.4484696388244629,0.01,100,False
6,2,2,2.3731441467455103,0.162291169451074,0.07995271682739258,0.6504380702972412,0.01,100,False
7,2,3,2.327235482852423,0.22832140015910898,0.08791041374206543,0.83803391456604,0.01,100,False
8,2,4,2.2868169520521504,0.2649164677804296,0.08698368072509766,1.0053024291992188,0.01,100,False
9,2,5,2.2324152190057456,0.3834526650755768,0.11828088760375977,1.1972322463989258,0.01,100,False
10,3,1,2.5904969175182453,0.07875894988066826,0.07088541984558105,0.13785219192504883,0.01,200,True
11,3,2,2.561239107506751,0.15592680986475735,0.07857513427734375,0.29454684257507324,0.01,200,True
12,3,3,2.531122611265099,0.19649960222752585,0.07295870780944824,0.4844372272491455,0.01,200,True
13,3,4,2.515114539183599,0.22275258552108193,0.08929800987243652,0.6666290760040283,0.01,200,True
14,3,5,2.4883777069116073,0.2386634844868735,0.07875299453735352,0.8226430416107178,0.01,200,True
15,4,1,2.5407252467238153,0.1718377088305489,0.11093568801879883,0.20288300514221191,0.01,200,False
16,4,2,2.5114512386640673,0.2315035799522673,0.1159367561340332,0.41376543045043945,0.01,200,False
17,4,3,2.4829960855682787,0.29594272076372313,0.06636333465576172,0.5837116241455078,0.01,200,False
18,4,4,2.4541799473971153,0.33015115354017505,0.08136677742004395,0.7526998519897461,0.01,200,False
19,4,5,2.425282022359358,0.3516308671439936,0.08509421348571777,0.9373569488525391,0.01,200,False
20,5,1,2.3831154110892574,0.12649164677804295,0.06655454635620117,0.10553336143493652,0.02,100,True
21,5,2,2.300841597782399,0.2657120127287192,0.08295154571533203,0.3011202812194824,0.02,100,True
22,5,3,2.2461659014936277,0.3031026252983294,0.07695603370666504,0.48000359535217285,0.02,100,True
23,5,4,2.2095801058323876,0.3261734287987271,0.08686947822570801,0.6611454486846924,0.02,100,True
24,5,5,2.1633607770302223,0.40731901352426414,0.13689446449279785,0.9099280834197998,0.02,100,True
25,6,1,2.390905856706836,0.1026252983293556,0.08594870567321777,0.13991832733154297,0.02,100,False
26,6,2,2.3432647413740866,0.1917263325377884,0.09894657135009766,0.31382250785827637,0.02,100,False
27,6,3,2.2901358448899543,0.2617342879872713,0.08843040466308594,0.502310037612915,0.02,100,False
28,6,4,2.216072241844596,0.40652346857597454,0.07595682144165039,0.7001967430114746,0.02,100,False
29,6,5,2.144038383222897,0.47175815433572,0.08460831642150879,0.8840727806091309,0.02,100,False
30,7,1,2.5503447251179527,0.15672235481304694,0.06695961952209473,0.1928877830505371,0.02,200,True
31,7,2,2.5006075368196887,0.2211614956245028,0.08195209503173828,0.3677866458892822,0.02,200,True
32,7,3,2.4625591939654536,0.2657120127287192,0.07594156265258789,0.5716688632965088,0.02,200,True
33,7,4,2.436691441987371,0.2840095465393795,0.07794499397277832,0.7815508842468262,0.02,200,True
34,7,5,2.4124101124401593,0.2975338106603023,0.08894848823547363,0.998424768447876,0.02,200,True
35,8,1,2.5676322912733616,0.09387430389817025,0.06462454795837402,0.12060403823852539,0.02,200,False
36,8,2,2.5191695138207484,0.22275258552108193,0.08746910095214844,0.33306384086608887,0.02,200,False
37,8,3,2.4734141623679853,0.2609387430389817,0.07695674896240234,0.5239548683166504,0.02,200,False
38,8,4,2.4310855895826147,0.29196499602227527,0.0739586353302002,0.723839521408081,0.02,200,False
39,8,5,2.3763368693058133,0.4081145584725537,0.0699617862701416,0.9237251281738281,0.02,200,False
